lang,uid,emotion,n_tokens,aopc_deletion_shap,aopc_deletion_random,aopc_insertion_shap,aopc_insertion_random
Sundanese,sun_00932,sadness,25,-0.013838531405206545,0.05897576946083771,0.5815634411532318,0.16856099675564873
Indonesian,ind_00019,anger,11,-0.01642032989125347,-0.19188475593575124,0.06736867207589006,-0.10894884715107596
Sundanese,sun_00828,joy,15,-0.21077755789484795,-0.03552673027219675,0.07337242936314943,-0.04708833465142198
Sundanese,sun_00337,surprise,8,0.05685079967947657,-0.02560672286415335,-0.0735678423989474,0.07684427131374824
Sundanese,sun_00385,joy,6,0.01940124778970328,-0.04807264502165589,-0.05610445794476606,-0.14847290637203708
Sundanese,sun_00588,joy,7,-0.14599489067681853,-0.013472063865728334,-0.08379601929623141,-0.009745437799605228
Sundanese,sun_01038,surprise,7,0.3437592108877133,0.5375732581392262,-0.20499747690550044,-0.09442205822848442
Sundanese,sun_00000,joy,10,-0.13874872027513377,-0.07778340115801266,-0.09798962795373606,-0.11289509305620989
Sundanese,sun_00281,joy,8,0.2120770819673372,0.11292244722791875,-0.018545215917475565,0.009074969864575422
Sundanese,sun_00127,joy,14,0.1460224831010887,-0.034933411627533384,0.24547217173183616,-0.13815728697110502
Sundanese,sun_00952,sadness,14,0.10212290469391787,0.042775217257034814,0.6198135614353996,0.25816086411116024
Sundanese,sun_00789,joy,7,0.18275728864781557,0.324685889894682,-0.040619662991453656,-0.06530542239679615
Indonesian,ind_00038,sadness,6,0.2683909835131305,0.1409492604958002,0.17846850880645151,0.25639731164731183
Sundanese,sun_00911,joy,5,0.09809961925868704,0.12516060058075035,-0.12758272183709884,-0.06641479788328739
Sundanese,sun_00475,joy,5,-0.046923039715933104,0.004492150542771585,0.05733534265871343,0.08763385769890972
Sundanese,sun_00161,sadness,17,0.42375756169727447,0.028089878929533497,0.11443842745256763,0.28560787155206313
Sundanese,sun_00662,joy,16,-0.09616254932229225,-0.07661228470233812,0.01595174529785597,-0.061761097534341426
Sundanese,sun_00733,surprise,22,0.12757059846282587,0.07712110275361922,-0.22638535787500752,-0.10387300329485719
Sundanese,sun_00857,joy,7,0.27650043254528245,0.09153706159073953,0.2056189638850246,0.2083523434556495
Sundanese,sun_00310,joy,9,0.4943766758687647,0.11565067961268849,0.09011265635324495,0.08833879855413022
Sundanese,sun_00865,joy,6,-0.03590597784091994,-0.038810355099921555,-0.07031515468130808,-0.10724913482136841
Sundanese,sun_01072,surprise,7,0.4683700894620638,0.2230393599716883,0.27850379127931835,-0.06218253094532021
Indonesian,ind_00088,sadness,15,0.31177247717607753,0.2521919572501394,0.37137259976721726,0.4986088108100115
Sundanese,sun_00032,disgust,19,0.16126210289980453,-0.034144848174108386,-0.16897170007765291,-0.018207231291681735
Sundanese,sun_01071,joy,15,0.29311354851062676,0.08743504985081682,0.3603024684323234,0.10502581446882028
Sundanese,sun_00082,joy,5,0.050934871854371455,0.34770723633626976,-0.040459957018389545,0.04815705166134253
Sundanese,sun_00444,joy,15,0.14139624822598193,0.07585631736333014,0.3307830064151657,0.13831667239743836
Sundanese,sun_00293,surprise,9,0.2149400906725699,0.08243274430784914,-0.14511122537642965,-0.14690739800964886
Sundanese,sun_00343,joy,6,-0.04349706442727193,-0.04075772720206909,0.11204303194745333,0.02624260394304987
Sundanese,sun_00899,joy,9,0.1265403532596488,-0.02001037466756992,-0.04383699492229278,-0.17088290637512146
