cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
ME-XBAL,42,S1,0.4250237584725462,0.6028097062579821,226,0.432703886152162,0.45588235294117646,31,0.47820549098138226,0.5142857142857142,33
ME-XBAL+XGB,42,S1,0.42571406695148695,0.5882352941176471,226,0.4795830387935651,0.5042016806722689,31,0.44980970945883225,0.49645390070921985,33
XLM-R Hybrid,42,S1,0.3964985513195783,0.624,226,0.3884848484848485,0.4067796610169492,31,0.35622895622895623,0.4948453608247423,33
XLM-R LR,42,S1,0.3978173320585447,0.6120805369127517,226,0.3723039762170197,0.42592592592592593,31,0.3795093795093795,0.5052631578947369,33
XLM-R XGB,42,S1,0.3765076884215844,0.6251655629139072,226,0.27161970583023215,0.39603960396039606,31,0.3391002348288221,0.46846846846846846,33
IndoBERT LR,42,S1,0.3892878400074024,0.5986394557823129,226,0.27831265508684866,0.4074074074074074,31,0.41681987946693827,0.4864864864864865,33
IndoBERT XGB,42,S1,0.39403166857628413,0.6328767123287671,226,0.2788877788877789,0.43478260869565216,31,0.33368606701940035,0.44660194174757284,33
IndoBERT Hybrid,42,S1,0.3664253696183044,0.6170500676589986,226,0.2530864197530864,0.42,31,0.3890594541910331,0.45,33
ME-XBAL,7,S1,0.3984906233622301,0.5739570164348925,226,0.4412910618792971,0.453781512605042,31,0.34458152958152954,0.48598130841121495,32
ME-XBAL+XGB,7,S1,0.3874007000986351,0.5968586387434555,226,0.46009816207184623,0.5,31,0.43088674726338866,0.5245901639344263,32
XLM-R Hybrid,7,S1,0.3969665516155079,0.6336088154269972,226,0.40236147294970825,0.432,31,0.35359477124183,0.5098039215686274,32
XLM-R LR,7,S1,0.3862691058687184,0.6005361930294906,226,0.3811845159671247,0.4077669902912621,31,0.3029100529100529,0.43956043956043955,32
XLM-R XGB,7,S1,0.3548110032858154,0.6067708333333334,226,0.24607113316790738,0.37606837606837606,31,0.2592833523066081,0.45098039215686275,32
IndoBERT LR,7,S1,0.3789793757700894,0.6267806267806267,226,0.4594006568144499,0.5210084033613446,31,0.49292929292929283,0.5714285714285714,32
IndoBERT XGB,7,S1,0.3741455404333052,0.6424581005586593,226,0.335666163901458,0.4838709677419355,31,0.41757575757575754,0.5365853658536586,32
IndoBERT Hybrid,7,S1,0.376784856100082,0.6214689265536724,226,0.39390129583677974,0.4918032786885246,31,0.46679116090880796,0.5769230769230769,32
ME-XBAL,13,S1,0.40397431455368116,0.6068601583113457,226,0.4127730002730003,0.47619047619047616,31,0.4980392156862745,0.5691056910569106,29
