cfg,seed,setting,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
ME-XBAL,42,S2,0.3600990891323424,0.45595854922279794,151,0.36242989556897304,0.49569707401032703,156
ME-XBAL+XGB,42,S2,0.34221578459765506,0.4376130198915009,151,0.37171133873659423,0.5060240963855421,156
XLM-R Hybrid,42,S2,0.3106577437261327,0.43478260869565216,151,0.3290120668381538,0.48951048951048953,156
XLM-R LR,42,S2,0.31133860153256704,0.42884990253411304,151,0.3204980373378292,0.46449136276391556,156
XLM-R XGB,42,S2,0.3190999778219268,0.4508670520231214,151,0.2917588031381135,0.4918032786885246,156
IndoBERT LR,42,S2,0.31308817615471424,0.4194107452339688,151,0.3483227488855934,0.47368421052631576,156
IndoBERT XGB,42,S2,0.303754122812546,0.4672268907563025,151,0.2749176313882196,0.4845360824742268,156
IndoBERT Hybrid,42,S2,0.3010049218853469,0.46605504587155966,151,0.32903703422268243,0.5047438330170778,156
ME-XBAL,7,S2,0.35900667860372826,0.4663023679417122,151,0.309012077303708,0.45753899480069327,156
ME-XBAL+XGB,7,S2,0.3425956787637116,0.4745762711864407,151,0.3550217135956855,0.515358361774744,156
XLM-R Hybrid,7,S2,0.3081961754562374,0.4552238805970149,151,0.32490060405433074,0.48188405797101447,156
XLM-R LR,7,S2,0.29861794413426357,0.416,151,0.30732770905518436,0.4612476370510397,156
XLM-R XGB,7,S2,0.31187447124947126,0.45714285714285713,151,0.2925170068027211,0.5009416195856874,156
IndoBERT LR,7,S2,0.34144786411298284,0.4,151,0.350044689142817,0.46476190476190476,156
IndoBERT XGB,7,S2,0.33599265795227945,0.46308724832214765,151,0.2762959387959388,0.4897959183673469,156
IndoBERT Hybrid,7,S2,0.35565537244115214,0.425531914893617,151,0.33684447894957864,0.46953405017921146,156
ME-XBAL,13,S2,0.36436806788214415,0.4635514018691589,151,0.33533894024745886,0.4981549815498155,156
ME-XBAL+XGB,13,S2,0.3622375806759117,0.47377938517179025,151,0.30415797519377236,0.48484848484848486,156
XLM-R Hybrid,13,S2,0.36785545071646714,0.47058823529411764,151,0.32512641018665117,0.4749034749034749,156
XLM-R LR,13,S2,0.3599320039234959,0.45348837209302323,151,0.301362692501933,0.4498977505112474,156
XLM-R XGB,13,S2,0.2806952466201213,0.4356060606060606,151,0.269323441411736,0.4865979381443299,156
IndoBERT LR,13,S2,0.3554448457674264,0.441025641025641,151,0.3147153411560191,0.4653846153846154,156
IndoBERT XGB,13,S2,0.2611540956519969,0.4435946462715105,151,0.2873658842961441,0.4919786096256685,156
