cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind,label,avg_macro_f1
A0,42,S1,0.24202657256928914,0.6307977736549165,226,0.16666666666666666,0.2857142857142857,31,0.24305555555555555,0.4383561643835616,33,A0  base: LR on raw embeddings,0.21724959826383713
A1,42,S1,0.35820568434245526,0.5837173579109063,226,0.3520189362294625,0.3516483516483517,31,0.36161616161616156,0.4742268041237113,33,A1  + StandardScaler,0.35728026072935976
A2,42,S1,0.3945775085431829,0.6141732283464567,226,0.31799124788255223,0.35555555555555557,31,0.3025341130604288,0.4418604651162791,33,A2  + PCA (95% variance),0.33836762316205465
A3,42,S1,0.2378569483348895,0.6165137614678899,226,0.12222222222222223,0.22857142857142856,31,0.18137254901960786,0.36619718309859156,33,A3  XGBoost replaces LR,0.1804839065255732
A4,42,S1,0.33651903907914976,0.6081081081081081,226,0.2737155388471178,0.30985915492957744,31,0.29243827160493824,0.45569620253164556,33,A4  + cost-sensitive weighting,0.30089094984373527
A5,42,S1,0.3828262802869727,0.6178861788617886,226,0.36594202898550726,0.42857142857142855,31,0.31810344827586207,0.49411764705882355,33,A5  + hybrid ensemble XGB+LR,0.35562391918278063
A6,42,S1,0.42571406695148695,0.5882352941176471,226,0.4795830387935651,0.5042016806722689,31,0.44980970945883225,0.49645390070921985,33,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4517022717346281
A2b,42,S1,0.4250237584725462,0.6028097062579821,226,0.432703886152162,0.45588235294117646,31,0.47820549098138226,0.5142857142857142,33,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.44531104520203013
A2c,42,S1,0.37126248896104846,0.6223404255319149,226,0.4018759018759019,0.45901639344262296,31,0.44115459545979574,0.47540983606557374,33,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.404764328765582
A0,7,S1,0.23485521643487317,0.6273062730627307,226,0.16476190476190478,0.29411764705882354,31,0.16161616161616163,0.4057971014492754,32,A0  base: LR on raw embeddings,0.18707776093764653
A1,7,S1,0.35916333180948684,0.6,226,0.33011803011803015,0.3146067415730337,31,0.23148148148148148,0.4175824175824176,32,A1  + StandardScaler,0.3069209478029995
A2,7,S1,0.3581648645574298,0.5923566878980892,226,0.381658692185008,0.37894736842105264,31,0.26392779333955807,0.40963855421686746,32,A2  + PCA (95% variance),0.3345837833606653
