lang,seed,split,uid
sun,42,train,sun_00001
sun,42,train,sun_00002
sun,42,train,sun_00003
sun,42,train,sun_00004
sun,42,train,sun_00005
sun,42,train,sun_00006
sun,42,train,sun_00007
sun,42,train,sun_00008
sun,42,train,sun_00009
sun,42,train,sun_00010
sun,42,train,sun_00011
sun,42,train,sun_00012
sun,42,train,sun_00013
sun,42,train,sun_00014
sun,42,train,sun_00016
sun,42,train,sun_00017
sun,42,train,sun_00019
sun,42,train,sun_00020
sun,42,train,sun_00022
sun,42,train,sun_00023
sun,42,train,sun_00024
sun,42,train,sun_00025
sun,42,train,sun_00026
sun,42,train,sun_00027
sun,42,train,sun_00028
sun,42,train,sun_00030
sun,42,train,sun_00031
sun,42,train,sun_00034
sun,42,train,sun_00035
sun,42,train,sun_00036
sun,42,train,sun_00037
sun,42,train,sun_00038
sun,42,train,sun_00039
sun,42,train,sun_00042
sun,42,train,sun_00044
sun,42,train,sun_00045
sun,42,train,sun_00047
sun,42,train,sun_00048
sun,42,train,sun_00049
sun,42,train,sun_00051
sun,42,train,sun_00054
sun,42,train,sun_00055
sun,42,train,sun_00056
sun,42,train,sun_00058
sun,42,train,sun_00059
sun,42,train,sun_00060
sun,42,train,sun_00061
sun,42,train,sun_00062
sun,42,train,sun_00063
sun,42,train,sun_00065
sun,42,train,sun_00066
sun,42,train,sun_00067
sun,42,train,sun_00069
sun,42,train,sun_00070
sun,42,train,sun_00071
sun,42,train,sun_00072
sun,42,train,sun_00073
sun,42,train,sun_00074
sun,42,train,sun_00076
sun,42,train,sun_00078
sun,42,train,sun_00080
sun,42,train,sun_00081
sun,42,train,sun_00083
sun,42,train,sun_00084
sun,42,train,sun_00085
sun,42,train,sun_00086
sun,42,train,sun_00087
sun,42,train,sun_00088
sun,42,train,sun_00089
sun,42,train,sun_00092
sun,42,train,sun_00094
sun,42,train,sun_00095
sun,42,train,sun_00096
sun,42,train,sun_00097
sun,42,train,sun_00099
sun,42,train,sun_00100
sun,42,train,sun_00101
sun,42,train,sun_00103
sun,42,train,sun_00104
sun,42,train,sun_00106
sun,42,train,sun_00107
sun,42,train,sun_00108
sun,42,train,sun_00109
sun,42,train,sun_00110
sun,42,train,sun_00113
