language,emotion,precision,recall,f1,threshold
Sundanese,anger,0.1956521739130435,0.42857142857142855,0.26865671641791045,0.29000000000000015
Sundanese,disgust,0.36363636363636365,0.23529411764705882,0.2857142857142857,0.5300000000000004
Sundanese,fear,0.12,0.2727272727272727,0.16666666666666666,0.31000000000000016
Sundanese,joy,0.8295454545454546,0.8848484848484849,0.8563049853372434,0.41000000000000025
Sundanese,sadness,0.6078431372549019,0.5961538461538461,0.6019417475728155,0.5100000000000003
Sundanese,surprise,0.2485207100591716,0.7636363636363637,0.375,0.23000000000000007
Javanese,anger,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.4600000000000003
Javanese,disgust,0.4,0.5,0.4444444444444444,0.42000000000000026
Javanese,fear,0.25,0.5,0.3333333333333333,0.19000000000000003
Javanese,joy,0.25,0.18181818181818182,0.21052631578947367,0.4700000000000003
Javanese,sadness,0.6428571428571429,0.9,0.75,0.4600000000000003
Javanese,surprise,0.3548387096774194,1.0,0.5238095238095238,0.15
Indonesian,anger,0.23076923076923078,0.5,0.3157894736842105,0.2600000000000001
Indonesian,disgust,0.2857142857142857,0.6666666666666666,0.4,0.20000000000000004
Indonesian,fear,0.125,0.5,0.2,0.22000000000000006
Indonesian,joy,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.4800000000000003
Indonesian,sadness,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.2500000000000001
Indonesian,surprise,0.32,0.8,0.45714285714285713,0.19000000000000003
