language,emotion,threshold,precision,recall,f1,pred_positive_rate,true_positive_rate,ppr_cap_used
Sundanese,anger,0.29000000000000015,0.1956521739130435,0.42857142857142855,0.26865671641791045,0.20353982300884957,0.09292035398230089,0.26785714285714285
Sundanese,disgust,0.5300000000000004,0.36363636363636365,0.23529411764705882,0.2857142857142857,0.048672566371681415,0.0752212389380531,0.21428571428571427
Sundanese,fear,0.31000000000000016,0.12,0.2727272727272727,0.16666666666666666,0.11061946902654868,0.048672566371681415,0.1607142857142857
Sundanese,joy,0.41000000000000025,0.8295454545454546,0.8848484848484849,0.8563049853372434,0.7787610619469026,0.7300884955752213,1.0
Sundanese,sadness,0.5100000000000003,0.6078431372549019,0.5961538461538461,0.6019417475728155,0.22566371681415928,0.23008849557522124,0.6964285714285714
Sundanese,surprise,0.23000000000000007,0.2485207100591716,0.7636363636363637,0.375,0.7477876106194691,0.24336283185840707,0.7321428571428571
Javanese,anger,0.4600000000000003,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.22580645161290322,0.1935483870967742,0.6818181818181818
Javanese,disgust,0.42000000000000026,0.4,0.5,0.4444444444444444,0.16129032258064516,0.12903225806451613,0.2727272727272727
Javanese,fear,0.19000000000000003,0.25,0.5,0.3333333333333333,0.25806451612903225,0.12903225806451613,0.2727272727272727
Javanese,joy,0.4700000000000003,0.25,0.18181818181818182,0.21052631578947367,0.25806451612903225,0.3548387096774194,1.0
Javanese,sadness,0.4600000000000003,0.6428571428571429,0.9,0.75,0.45161290322580644,0.3225806451612903,0.9545454545454546
Javanese,surprise,0.15,0.3548387096774194,1.0,0.5238095238095238,1.0,0.3548387096774194,1.0
Indonesian,anger,0.2600000000000001,0.23076923076923078,0.5,0.3157894736842105,0.3939393939393939,0.18181818181818182,0.6521739130434783
Indonesian,disgust,0.20000000000000004,0.2857142857142857,0.6666666666666666,0.4,0.42424242424242425,0.18181818181818182,0.5217391304347826
Indonesian,fear,0.22000000000000006,0.125,0.5,0.2,0.24242424242424243,0.06060606060606061,0.2608695652173913
Indonesian,joy,0.4800000000000003,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.45454545454545453,0.45454545454545453,1.0
Indonesian,sadness,0.2500000000000001,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.5454545454545454,0.2727272727272727,0.9130434782608696
Indonesian,surprise,0.19000000000000003,0.32,0.8,0.45714285714285713,0.7575757575757576,0.30303030303030304,0.9130434782608696
