language,comparison,mean_diff,cohens_d,wilcoxon_stat,p_value,significant_0.05
Javanese,ME-XBAL vs IndoBERT Hybrid,-0.007264371945431475,-0.24570740585235637,27.0,1.0,False
Javanese,ME-XBAL vs IndoBERT LR,-0.005943816301418064,-0.2196460990155317,24.0,0.76953125,False
Javanese,ME-XBAL vs IndoBERT XGB,0.03203120261878036,1.0133159591653083,9.0,0.064453125,False
Javanese,ME-XBAL vs ME-XBAL+XGB,-0.00295543735817268,-0.08534725810646482,23.0,0.6953125,False
Javanese,ME-XBAL vs XLM-R Hybrid,0.022083366373797847,0.6806322201614545,7.0,0.037109375,True
Javanese,ME-XBAL vs XLM-R LR,0.02197691760438667,0.6605207684410894,5.0,0.01953125,True
Javanese,ME-XBAL vs XLM-R XGB,0.04903160866504798,1.901073242156347,1.0,0.00390625,True
Indonesian,ME-XBAL vs IndoBERT Hybrid,0.023054684736684837,0.7369965822697347,8.0,0.048828125,True
Indonesian,ME-XBAL vs IndoBERT LR,0.01407474902431836,0.4770066743651948,13.0,0.16015625,False
Indonesian,ME-XBAL vs IndoBERT XGB,0.0659049392612763,2.84218742638574,0.0,0.001953125,True
Indonesian,ME-XBAL vs ME-XBAL+XGB,0.0033798916488403607,0.11295089714626885,23.0,0.6953125,False
Indonesian,ME-XBAL vs XLM-R Hybrid,0.0253543009541199,1.0022040969607915,4.0,0.013671875,True
Indonesian,ME-XBAL vs XLM-R LR,0.021376326179985156,0.7887620763148774,7.0,0.037109375,True
Indonesian,ME-XBAL vs XLM-R XGB,0.05436714230552422,2.1727799072577443,0.0,0.001953125,True
