language,seed,total,train,validation,test
Sundanese,42,1123,729,168,226
Javanese,42,151,98,22,31
Indonesian,42,156,100,23,33
Sundanese,7,1123,729,168,226
Javanese,7,151,98,22,31
Indonesian,7,156,101,23,32
Sundanese,13,1123,729,168,226
Javanese,13,151,98,22,31
Indonesian,13,156,101,26,29
Sundanese,77,1123,729,168,226
Javanese,77,151,98,22,31
Indonesian,77,156,100,24,32
Sundanese,101,1123,729,168,226
Javanese,101,151,98,22,31
Indonesian,101,156,101,23,32
Sundanese,202,1123,729,168,226
Javanese,202,151,98,22,31
Indonesian,202,156,101,23,32
Sundanese,303,1123,729,168,226
Javanese,303,151,98,21,32
Indonesian,303,156,101,23,32
Sundanese,404,1123,729,168,226
Javanese,404,151,98,22,31
Indonesian,404,156,101,23,32
Sundanese,505,1123,729,168,226
Javanese,505,151,98,22,31
Indonesian,505,156,101,23,32
Sundanese,606,1123,729,168,226
Javanese,606,151,98,22,31
Indonesian,606,156,101,23,32
