cfg,seed,w_xgb,macro_f1,micro_f1,accuracy,n_test,label
A0,42,0.0,0.594409121852028,0.6401480111008325,0.6401480111008325,1081,A0  base: LR on raw embeddings
A1,42,0.0,0.5298229819112111,0.574468085106383,0.574468085106383,1081,A1  + StandardScaler
A2,42,0.0,0.5716286979650974,0.61054579093432,0.61054579093432,1081,A2  + PCA (95% variance)
A3,42,1.0,0.5273256638101836,0.5818686401480111,0.5818686401480111,1081,A3  XGBoost replaces LR
A4,42,1.0,0.5510648771559025,0.5735430157261795,0.5735430157261795,1081,A4  + cost-sensitive weighting
A5,42,0.30000000000000004,0.5841700826315995,0.6133209990749307,0.6133209990749307,1081,A5  + hybrid ensemble XGB+LR
A6,42,0.30000000000000004,0.5841700826315995,0.6133209990749307,0.6133209990749307,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,42,0.0,0.5845796365044867,0.6151711378353376,0.6151711378353376,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,42,1.0,0.5510648771559025,0.5735430157261795,0.5735430157261795,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,7,0.0,0.592951028705424,0.6392229417206291,0.6392229417206291,1081,A0  base: LR on raw embeddings
A1,7,0.0,0.5398416885210111,0.5827937095282146,0.5827937095282146,1081,A1  + StandardScaler
A2,7,0.0,0.5814639518628069,0.6262719703977798,0.6262719703977798,1081,A2  + PCA (95% variance)
A3,7,1.0,0.5282771527331109,0.5864939870490287,0.5864939870490287,1081,A3  XGBoost replaces LR
A4,7,1.0,0.5505963656501269,0.57631822386679,0.57631822386679,1081,A4  + cost-sensitive weighting
A5,7,0.4,0.6059336611018986,0.6345975948196114,0.6345975948196114,1081,A5  + hybrid ensemble XGB+LR
A6,7,0.4,0.6059336611018986,0.6345975948196114,0.6345975948196114,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,7,0.0,0.6032456797281281,0.6308973172987974,0.6308973172987974,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
