cfg,seed,w_xgb,macro_f1,micro_f1,accuracy,n_test
ME-XBAL,42,0.0,0.5845796365044867,0.6151711378353376,0.6151711378353376,1081
ME-XBAL+XGB,42,0.30000000000000004,0.5841700826315995,0.6133209990749307,0.6133209990749307,1081
XLM-R Hybrid,42,0.5,0.5742654854730217,0.6160962072155411,0.6160962072155411,1081
XLM-R LR,42,0.0,0.5727925850548802,0.6114708603145236,0.6114708603145236,1081
XLM-R XGB,42,1.0,0.5314156753887591,0.5772432932469935,0.5772432932469935,1081
IndoBERT LR,42,0.0,0.5650449512156349,0.6086956521739131,0.6086956521739131,1081
IndoBERT XGB,42,1.0,0.5481624452012163,0.5911193339500462,0.5911193339500462,1081
IndoBERT Hybrid,42,0.5,0.5804014939437684,0.6262719703977798,0.6262719703977798,1081
ME-XBAL,7,0.0,0.6032456797281281,0.6308973172987974,0.6308973172987974,1081
ME-XBAL+XGB,7,0.4,0.6059336611018986,0.6345975948196114,0.6345975948196114,1081
XLM-R Hybrid,7,0.5,0.5896948715695987,0.635522664199815,0.635522664199815,1081
XLM-R LR,7,0.0,0.5835338934711997,0.6253469010175763,0.6253469010175763,1081
XLM-R XGB,7,1.0,0.544063193418386,0.5957446808510638,0.5957446808510638,1081
IndoBERT LR,7,0.0,0.5878364626616016,0.6253469010175763,0.6253469010175763,1081
IndoBERT XGB,7,1.0,0.554752992062944,0.6003700277520814,0.6003700277520814,1081
IndoBERT Hybrid,7,0.5,0.5970108444402155,0.6392229417206291,0.6392229417206291,1081
ME-XBAL,13,0.0,0.6020196830178165,0.6234967622571693,0.6234967622571693,1081
ME-XBAL+XGB,13,0.65,0.6028377792294599,0.6271970397779834,0.6271970397779834,1081
XLM-R Hybrid,13,0.5,0.6019473634844352,0.6345975948196114,0.6345975948196114,1081
XLM-R LR,13,0.0,0.5927749549933008,0.6271970397779834,0.6271970397779834,1081
XLM-R XGB,13,1.0,0.5596534380185922,0.599444958371878,0.599444958371878,1081
IndoBERT LR,13,0.0,0.5988311237001622,0.6327474560592045,0.6327474560592045,1081
IndoBERT XGB,13,1.0,0.5756352047936273,0.6077705827937095,0.6077705827937095,1081
IndoBERT Hybrid,13,0.5,0.6034857696520256,0.6392229417206291,0.6392229417206291,1081
ME-XBAL,77,0.0,0.5886377113806919,0.6151711378353376,0.6151711378353376,1081
ME-XBAL+XGB,77,0.65,0.592184117384188,0.6188714153561518,0.6188714153561518,1081
XLM-R Hybrid,77,0.5,0.5851889048287988,0.6281221091581869,0.6281221091581869,1081
XLM-R LR,77,0.0,0.5660821713359032,0.606845513413506,0.606845513413506,1081
XLM-R XGB,77,1.0,0.5298871299294801,0.5855689176688251,0.5855689176688251,1081
IndoBERT LR,77,0.0,0.560632630813781,0.603145235892692,0.603145235892692,1081
IndoBERT XGB,77,1.0,0.5492448356828348,0.6003700277520814,0.6003700277520814,1081
IndoBERT Hybrid,77,0.5,0.5643221181027103,0.6114708603145236,0.6114708603145236,1081
ME-XBAL,101,0.0,0.6255684674882173,0.6484736355226642,0.6484736355226642,1081
ME-XBAL+XGB,101,0.7000000000000001,0.6227188447372554,0.6447733580018501,0.6447733580018501,1081
XLM-R Hybrid,101,0.5,0.6024115989936372,0.6438482886216467,0.6438482886216467,1081
XLM-R LR,101,0.0,0.6119307312167209,0.6447733580018501,0.6447733580018501,1081
XLM-R XGB,101,1.0,0.5276634284458724,0.57631822386679,0.57631822386679,1081
IndoBERT LR,101,0.0,0.5605744100197732,0.603145235892692,0.603145235892692,1081
IndoBERT XGB,101,1.0,0.5457781888206485,0.6003700277520814,0.6003700277520814,1081
IndoBERT Hybrid,101,0.5,0.5585248399575022,0.6059204440333025,0.6059204440333025,1081
ME-XBAL,202,0.0,0.5862434534503228,0.6123959296947271,0.6123959296947271,1081
ME-XBAL+XGB,202,0.65,0.6071117243689301,0.6318223866790009,0.6318223866790009,1081
XLM-R Hybrid,202,0.5,0.5975464472547872,0.6345975948196114,0.6345975948196114,1081
XLM-R LR,202,0.0,0.5779607192405565,0.6197964847363552,0.6197964847363552,1081
XLM-R XGB,202,1.0,0.5518024952554097,0.5892691951896393,0.5892691951896393,1081
IndoBERT LR,202,0.0,0.5754383631125357,0.61054579093432,0.61054579093432,1081
IndoBERT XGB,202,1.0,0.530622467426795,0.5809435707678076,0.5809435707678076,1081
IndoBERT Hybrid,202,0.5,0.5796500229429937,0.6160962072155411,0.6160962072155411,1081
ME-XBAL,303,0.0,0.587616700490844,0.6142460684551342,0.6142460684551342,1081
ME-XBAL+XGB,303,0.6000000000000001,0.604632678676406,0.6318223866790009,0.6318223866790009,1081
XLM-R Hybrid,303,0.5,0.5949390888828452,0.6327474560592045,0.6327474560592045,1081
XLM-R LR,303,0.0,0.5821652267919873,0.6188714153561518,0.6188714153561518,1081
XLM-R XGB,303,1.0,0.5614650928368549,0.6040703052728955,0.6040703052728955,1081
IndoBERT LR,303,0.0,0.5750913782112115,0.6086956521739131,0.6086956521739131,1081
IndoBERT XGB,303,1.0,0.5540035758595586,0.6040703052728955,0.6040703052728955,1081
IndoBERT Hybrid,303,0.5,0.5954713138261694,0.6318223866790009,0.6318223866790009,1081
ME-XBAL,404,0.0,0.588122122669321,0.6142460684551342,0.6142460684551342,1081
ME-XBAL+XGB,404,0.7000000000000001,0.6074836897326505,0.6345975948196114,0.6345975948196114,1081
XLM-R Hybrid,404,0.5,0.5929815090004149,0.635522664199815,0.635522664199815,1081
XLM-R LR,404,0.0,0.5858428713264099,0.6234967622571693,0.6234967622571693,1081
XLM-R XGB,404,1.0,0.5491162098601314,0.5957446808510638,0.5957446808510638,1081
IndoBERT LR,404,0.0,0.5996953186321607,0.6318223866790009,0.6318223866790009,1081
IndoBERT XGB,404,1.0,0.552819432545031,0.5929694727104533,0.5929694727104533,1081
IndoBERT Hybrid,404,0.5,0.5987890857859371,0.6345975948196114,0.6345975948196114,1081
ME-XBAL,505,0.0,0.6105971996593003,0.6382978723404256,0.6382978723404256,1081
ME-XBAL+XGB,505,0.7000000000000001,0.63584234263307,0.6595744680851063,0.6595744680851063,1081
XLM-R Hybrid,505,0.5,0.6259056801964127,0.666049953746531,0.666049953746531,1081
XLM-R LR,505,0.0,0.6047678346807641,0.6438482886216467,0.6438482886216467,1081
XLM-R XGB,505,1.0,0.5668320947460688,0.6123959296947271,0.6123959296947271,1081
IndoBERT LR,505,0.0,0.5980980532620268,0.635522664199815,0.635522664199815,1081
IndoBERT XGB,505,1.0,0.5593954946142812,0.6114708603145236,0.6114708603145236,1081
IndoBERT Hybrid,505,0.5,0.6178364055845226,0.6540240518038853,0.6540240518038853,1081
ME-XBAL,606,0.0,0.6075326559282683,0.6345975948196114,0.6345975948196114,1081
ME-XBAL+XGB,606,0.55,0.6034874418657228,0.6318223866790009,0.6318223866790009,1081
XLM-R Hybrid,606,0.5,0.606000751876506,0.6512488436632747,0.6512488436632747,1081
XLM-R LR,606,0.0,0.5942030533118274,0.6392229417206291,0.6392229417206291,1081
XLM-R XGB,606,1.0,0.5445277275665059,0.5920444033302498,0.5920444033302498,1081
IndoBERT LR,606,0.0,0.578969378499864,0.6197964847363552,0.6197964847363552,1081
IndoBERT XGB,606,1.0,0.5763891747704587,0.6133209990749307,0.6133209990749307,1081
IndoBERT Hybrid,606,0.5,0.5816317838500877,0.6253469010175763,0.6253469010175763,1081
