cfg,seed,train_time_s,infer_ms_per_sample,macro_f1,micro_f1,accuracy
XLM-R fine-tuned,42,757.3100735609987,4.2154834273829085,0.6696890928060754,0.7039777983348752,0.7039777983348752
XLM-R fine-tuned,7,660.539646453999,4.601700084180591,0.6917520997268722,0.723404255319149,0.723404255319149
XLM-R fine-tuned,13,755.4021977850007,4.64558803515223,0.6608831997608247,0.6873265494912119,0.6873265494912119
XLM-R fine-tuned,77,754.7290700839985,4.788297330248987,0.6556841779050506,0.6817761332099908,0.6817761332099908
XLM-R fine-tuned,101,756.3470642469983,4.487069664198664,0.6855817926469057,0.7113783533765032,0.7113783533765032
XLM-R fine-tuned,202,662.1905697900002,4.983182362628147,0.6893830541990109,0.7132284921369103,0.7132284921369103
XLM-R fine-tuned,303,755.9891397190004,4.725047036075691,0.6916088551744168,0.7215541165587419,0.7215541165587419
XLM-R fine-tuned,404,756.0313496710005,4.558673668828177,0.6732683158467843,0.6993524514338575,0.6993524514338575
XLM-R fine-tuned,505,756.2549317010016,4.645891705826667,0.6674096444671407,0.6910268270120259,0.6910268270120259
XLM-R fine-tuned,606,663.3586649249992,4.890617640148481,0.6911617173765106,0.7215541165587419,0.7215541165587419
