seed,split,uid
42,train,tok_00000
42,train,tok_00002
42,train,tok_00003
42,train,tok_00004
42,train,tok_00005
42,train,tok_00007
42,train,tok_00012
42,train,tok_00014
42,train,tok_00015
42,train,tok_00016
42,train,tok_00017
42,train,tok_00019
42,train,tok_00022
42,train,tok_00024
42,train,tok_00025
42,train,tok_00026
42,train,tok_00029
42,train,tok_00030
42,train,tok_00031
42,train,tok_00032
42,train,tok_00033
42,train,tok_00037
42,train,tok_00039
42,train,tok_00040
42,train,tok_00041
42,train,tok_00043
42,train,tok_00044
42,train,tok_00045
42,train,tok_00047
42,train,tok_00048
42,train,tok_00049
42,train,tok_00051
42,train,tok_00052
42,train,tok_00053
42,train,tok_00054
42,train,tok_00055
42,train,tok_00062
42,train,tok_00063
42,train,tok_00065
42,train,tok_00066
42,train,tok_00067
42,train,tok_00068
42,train,tok_00069
42,train,tok_00070
42,train,tok_00071
42,train,tok_00072
42,train,tok_00073
42,train,tok_00074
42,train,tok_00075
42,train,tok_00076
42,train,tok_00077
42,train,tok_00080
42,train,tok_00082
42,train,tok_00083
42,train,tok_00085
42,train,tok_00086
42,train,tok_00087
42,train,tok_00088
42,train,tok_00089
42,train,tok_00090
42,train,tok_00091
42,train,tok_00092
42,train,tok_00095
42,train,tok_00096
42,train,tok_00097
42,train,tok_00098
42,train,tok_00099
42,train,tok_00102
42,train,tok_00103
42,train,tok_00104
42,train,tok_00105
42,train,tok_00106
42,train,tok_00108
42,train,tok_00109
42,train,tok_00110
42,train,tok_00111
42,train,tok_00113
42,train,tok_00117
42,train,tok_00119
42,train,tok_00121
42,train,tok_00123
42,train,tok_00124
42,train,tok_00125
42,train,tok_00126
42,train,tok_00127
42,train,tok_00128
42,train,tok_00130
42,train,tok_00134
42,train,tok_00135
42,train,tok_00136
42,train,tok_00137
42,train,tok_00140
42,train,tok_00143
42,train,tok_00145
42,train,tok_00148
42,train,tok_00151
42,train,tok_00152
42,train,tok_00153
42,train,tok_00154
42,train,tok_00155
42,train,tok_00156
42,train,tok_00157
42,train,tok_00158
42,train,tok_00159
42,train,tok_00161
42,train,tok_00168
42,train,tok_00170
42,train,tok_00171
42,train,tok_00173
42,train,tok_00175
42,train,tok_00176
42,train,tok_00177
42,train,tok_00178
42,train,tok_00179
42,train,tok_00180
42,train,tok_00181
42,train,tok_00183
42,train,tok_00186
42,train,tok_00188
42,train,tok_00189
42,train,tok_00190
42,train,tok_00191
42,train,tok_00192
42,train,tok_00194
42,train,tok_00195
42,train,tok_00196
42,train,tok_00197
42,train,tok_00200
42,train,tok_00201
42,train,tok_00203
42,train,tok_00204
42,train,tok_00205
42,train,tok_00206
42,train,tok_00207
42,train,tok_00208
42,train,tok_00211
42,train,tok_00212
42,train,tok_00213
42,train,tok_00214
42,train,tok_00215
42,train,tok_00216
42,train,tok_00218
42,train,tok_00219
42,train,tok_00220
42,train,tok_00221
42,train,tok_00222
42,train,tok_00223
42,train,tok_00224
42,train,tok_00227
42,train,tok_00228
42,train,tok_00229
42,train,tok_00230
42,train,tok_00233
42,train,tok_00234
42,train,tok_00235
42,train,tok_00236
42,train,tok_00237
42,train,tok_00239
42,train,tok_00240
42,train,tok_00241
42,train,tok_00246
42,train,tok_00249
42,train,tok_00250
42,train,tok_00252
42,train,tok_00254
42,train,tok_00255
42,train,tok_00257
42,train,tok_00259
42,train,tok_00263
42,train,tok_00264
42,train,tok_00265
42,train,tok_00266
42,train,tok_00267
42,train,tok_00269
42,train,tok_00271
42,train,tok_00273
42,train,tok_00274
42,train,tok_00276
42,train,tok_00277
42,train,tok_00278
42,train,tok_00279
42,train,tok_00281
42,train,tok_00282
42,train,tok_00283
42,train,tok_00284
42,train,tok_00285
42,train,tok_00286
42,train,tok_00288
42,train,tok_00289
42,train,tok_00290
42,train,tok_00291
42,train,tok_00293
42,train,tok_00294
42,train,tok_00295
42,train,tok_00296
42,train,tok_00297
42,train,tok_00300
42,train,tok_00301
42,train,tok_00303
42,train,tok_00305
42,train,tok_00306
42,train,tok_00307
42,train,tok_00308
42,train,tok_00309
42,train,tok_00310
42,train,tok_00312
42,train,tok_00313
42,train,tok_00314
42,train,tok_00315
42,train,tok_00316
42,train,tok_00317
42,train,tok_00318
42,train,tok_00319
42,train,tok_00320
42,train,tok_00321
42,train,tok_00322
42,train,tok_00323
42,train,tok_00325
42,train,tok_00326
42,train,tok_00329
42,train,tok_00330
42,train,tok_00331
42,train,tok_00333
42,train,tok_00334
42,train,tok_00335
42,train,tok_00337
42,train,tok_00339
42,train,tok_00340
42,train,tok_00341
42,train,tok_00342
42,train,tok_00346
42,train,tok_00347
42,train,tok_00348
42,train,tok_00349
42,train,tok_00350
42,train,tok_00351
42,train,tok_00352
42,train,tok_00355
42,train,tok_00356
42,train,tok_00357
42,train,tok_00358
42,train,tok_00359
42,train,tok_00360
42,train,tok_00361
42,train,tok_00363
42,train,tok_00364
42,train,tok_00368
42,train,tok_00369
42,train,tok_00371
42,train,tok_00374
42,train,tok_00376
42,train,tok_00377
42,train,tok_00378
42,train,tok_00379
42,train,tok_00381
42,train,tok_00383
42,train,tok_00385
42,train,tok_00387
42,train,tok_00389
42,train,tok_00390
42,train,tok_00393
42,train,tok_00395
42,train,tok_00396
42,train,tok_00398
42,train,tok_00399
42,train,tok_00400
42,train,tok_00401
42,train,tok_00402
42,train,tok_00407
42,train,tok_00408
42,train,tok_00410
42,train,tok_00413
42,train,tok_00414
42,train,tok_00415
42,train,tok_00416
42,train,tok_00417
42,train,tok_00418
42,train,tok_00420
42,train,tok_00422
42,train,tok_00423
42,train,tok_00424
42,train,tok_00426
42,train,tok_00427
42,train,tok_00428
42,train,tok_00429
42,train,tok_00431
42,train,tok_00432
42,train,tok_00434
42,train,tok_00437
42,train,tok_00439
42,train,tok_00440
42,train,tok_00443
42,train,tok_00444
42,train,tok_00445
42,train,tok_00448
42,train,tok_00449
42,train,tok_00450
42,train,tok_00453
42,train,tok_00454
42,train,tok_00458
42,train,tok_00460
42,train,tok_00461
42,train,tok_00463
42,train,tok_00464
42,train,tok_00465
42,train,tok_00466
42,train,tok_00467
42,train,tok_00469
42,train,tok_00470
42,train,tok_00471
42,train,tok_00472
42,train,tok_00473
42,train,tok_00476
42,train,tok_00478
42,train,tok_00479
42,train,tok_00481
42,train,tok_00482
42,train,tok_00483
42,train,tok_00484
42,train,tok_00486
42,train,tok_00488
42,train,tok_00489
42,train,tok_00490
42,train,tok_00492
42,train,tok_00493
42,train,tok_00494
42,train,tok_00500
42,train,tok_00501
42,train,tok_00503
42,train,tok_00504
42,train,tok_00507
42,train,tok_00508
42,train,tok_00509
42,train,tok_00510
42,train,tok_00513
42,train,tok_00514
42,train,tok_00515
42,train,tok_00516
42,train,tok_00517
42,train,tok_00518
42,train,tok_00519
42,train,tok_00520
42,train,tok_00523
42,train,tok_00524
42,train,tok_00525
42,train,tok_00526
42,train,tok_00528
42,train,tok_00529
42,train,tok_00531
42,train,tok_00532
42,train,tok_00533
42,train,tok_00534
42,train,tok_00536
42,train,tok_00537
42,train,tok_00542
42,train,tok_00544
42,train,tok_00545
42,train,tok_00546
42,train,tok_00547
42,train,tok_00548
42,train,tok_00549
42,train,tok_00551
42,train,tok_00554
42,train,tok_00558
42,train,tok_00559
42,train,tok_00561
42,train,tok_00563
42,train,tok_00566
42,train,tok_00567
42,train,tok_00568
42,train,tok_00570
42,train,tok_00571
